التاريخ,باركود,اسم الصنف,المورد,القسم,سعر المستهلك,الكمية,الرصيد,القيمة,الخصم,الصافي,سعر الجملة,الربح,نسبة الربح
2/5/2021,70,307حذاء حريمي,احذية جراند تو,احذية حريمي,265,2,40,530,66.3,463.8,190,83.8,39.5
2/5/2021,137,510بلوزة شيفون كرافته,حريمي مودا اس صيفي,حريمي,189.95,1,5,190,19,171,130,41,46.1
